,序号,饮料类商品,标签
0,1,100g*5瓶益力多,正常
1,2,145ml旺仔牛奶盒装,热销
2,3,145ml旺仔牛奶罐装,滞销
3,4,150g健能酸奶原味,正常
4,5,180ml雀巢咖啡罐装,正常
5,6,205g伊利安慕希原味,正常
6,7,205ml安慕希蓝莓味,正常
7,8,250ML东鹏特饮,正常
8,9,250ml燕塘原味酸奶,热销
9,10,250ml燕塘甜牛奶,热销
10,11,250ml燕塘红枣牛奶,热销
11,12,250ml王老吉盒装,正常
12,13,250ml红牛,热销
13,14,250ml统一麦香奶茶,滞销
14,15,250ml维他原味豆奶,热销
15,16,250ml维他奶低糖原味,正常
16,17,250ml维他奶巧克力味,正常
17,18,250ml维他奶黑豆奶饮品,正常
18,19,250ml维他柠檬茶,热销
19,20,250ml维他椰子味豆奶7716,滞销
20,21,250ml维他椰子植物蛋白饮料,滞销
21,22,250ml维他椰子植物蛋白饮料9374,滞销
22,23,250ml香满楼纯牛奶,滞销
23,24,268ml雀巢咖啡丝滑拿铁,正常
24,25,330ml伊利畅意乳酸菌原味,正常
25,26,450ml美汁源果粒橙,正常
26,27,480ml小茗同学冷泡溜溜哒茶,正常
27,28,480ml小茗同学冷泡青柠红茶,正常
28,29,500ML宝矿力,滞销
29,30,500ml农夫果园 (芒果+菠萝+番石榴),正常
30,31,500ml加多宝,正常
31,32,500ml康师傅冰糖雪梨,正常
32,33,500ml恒大冰泉矿泉水,滞销
33,34,500ml统一冰糖雪梨,滞销
34,35,500ml统一阿萨姆奶茶,正常
35,36,500ml营养快线原味,正常
36,37,600ml可口可乐,正常
37,38,600ml脉动青柠,正常
38,39,600ml雪碧,正常
39,40,80g香飘飘椰果奶茶原味,正常
40,41,80g香飘飘椰果奶茶麦香味,正常
41,42,东鹏特饮,热销
42,43,乐虎,滞销
43,44,乐虎（380ml）,正常
44,45,伊利优酸乳,热销
45,46,伊利纯牛奶,正常
46,47,健能酸奶,正常
47,48,农夫果园,正常
48,49,冰糖雪梨,正常
49,50,冰红茶（罐）,滞销
50,51,加多宝,正常
51,52,可乐可乐,正常
52,53,可乐（500ml）,滞销
53,54,可口可乐330ml,正常
54,55,可口可乐330ml（罐）,滞销
55,56,可口可乐最新款,热销
56,57,可口可乐（500ml）,热销
57,58,商品1,滞销
58,59,商品2,滞销
59,60,安慕希酸奶,正常
60,61,小茗同学冷泡茶（乳酸菌味）,滞销
61,62,尖叫,正常
62,63,康师傅矿泉水,正常
63,64,怡宝,正常
64,65,怡宝矿泉水,正常
65,66,怡宝纯净水,热销
66,67,旺仔牛奶,滞销
67,68,旺仔牛奶145ml,滞销
68,69,果粒橙,热销
69,70,椰树牌椰汁,正常
70,71,燕塘原味酸奶,正常
71,72,燕塘甜牛奶,正常
72,73,燕塘红枣牛奶,正常
73,74,王老吉（500ml）,热销
74,75,王老吉（罐）,热销
75,76,百事可乐330ml,正常
76,77,百事可乐500ml,正常
77,78,益力多100g*5瓶,正常
78,79,红牛,热销
79,80,经典奶茶,滞销
80,81,统一冰红茶,热销
81,82,统一绿茶,热销
82,83,统一阿萨姆奶茶,正常
83,84,维他原味豆奶,正常
84,85,维他奶,正常
85,86,维他奶（巧克力味）,滞销
86,87,维他柠檬茶,正常
87,88,美年达（罐）,正常
88,89,美汁源果粒橙,正常
89,90,脉动,热销
90,91,脉动（椰子菠萝口味）,正常
91,92,脉动（青柠）,滞销
92,93,芦荟汁,滞销
93,94,芬达330ml,正常
94,95,茉莉蜜茶,正常
95,96,营养快线,热销
96,97,银鹭八宝粥,热销
97,98,阿萨姆奶茶,热销
98,99,阿萨姆煎茶奶绿,正常
99,100,雀巢咖啡,正常
100,101,雪力矿泉水,正常
101,102,雪碧,正常
102,103,雪碧330ml,正常
103,104,雪碧最新款,热销
104,105,雪碧（500ml）,热销
